class,source_path,staged_path,mask_should_go_to
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose684__jpg.rf.a8e661fae367bb39566ad145b027f078.jpg,annotation_staging/anthracnose/anthracnose684__jpg.rf.a8e661fae367bb39566ad145b027f078.jpg,lesion_masks/anthracnose/anthracnose684__jpg.rf.a8e661fae367bb39566ad145b027f078.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.jpg,annotation_staging/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.jpg,lesion_masks/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1351__jpg.rf.fcda00b41ba4b8f6b8714348687e6ec2.jpg,annotation_staging/anthracnose/anthracnose1351__jpg.rf.fcda00b41ba4b8f6b8714348687e6ec2.jpg,lesion_masks/anthracnose/anthracnose1351__jpg.rf.fcda00b41ba4b8f6b8714348687e6ec2.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.jpg,annotation_staging/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.jpg,lesion_masks/anthracnose/anthracnose761__jpg.rf.bed9e289514b9664e05d9476756e50d0.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose278__jpg.rf.3354963ebcd4dfffb361a6ae2fa4037d.jpg,annotation_staging/anthracnose/anthracnose278__jpg.rf.3354963ebcd4dfffb361a6ae2fa4037d.jpg,lesion_masks/anthracnose/anthracnose278__jpg.rf.3354963ebcd4dfffb361a6ae2fa4037d.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.jpg,annotation_staging/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.jpg,lesion_masks/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.jpg,annotation_staging/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.jpg,lesion_masks/anthracnose/anthracnose503__jpg.rf.e592af797751fec604efaf3ae1f67616.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.jpg,annotation_staging/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.jpg,lesion_masks/anthracnose/anthracnose204__jpg.rf.3c900a2ef5b7166a757d71f3550a721c.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.jpg,annotation_staging/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.jpg,lesion_masks/anthracnose/anthracnose1109__jpg.rf.1fc2a14d7bb6156a1d0a1a13a8a270bc.png
anthracnose,cashew_leaf_dataset_raw/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.jpg,annotation_staging/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.jpg,lesion_masks/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.png
