backbone,fold,accuracy,macro_f1,macro_auc,best_epoch
tf_efficientnetv2_s,0,98.39292888710325,0.9839800790029396,0.9962142797342931,14
tf_efficientnetv2_s,1,99.07300115874855,0.9905491227925156,0.9980614184150507,17
tf_efficientnetv2_s,2,98.91435464414958,0.9891643936437295,0.9986534532219873,18
tf_efficientnetv2_s,3,98.60668789808918,0.9865252162833098,0.9985007968840651,17
tf_efficientnetv2_s,4,98.87685519454472,0.9888322774078075,0.9996110432044018,20
convnext_tiny,0,98.31257533145842,0.9831511214262986,0.9969114782469797,24
convnext_tiny,1,97.99150251062187,0.9795950863664815,0.9968660571442205,15
convnext_tiny,2,98.79372738238843,0.9880393576756126,0.9983330326191082,32
convnext_tiny,3,98.28821656050955,0.983233832050264,0.998352587365881,18
convnext_tiny,4,95.34697152025672,0.9522635070833521,0.9942311822407888,3
swin_tiny_patch4_window7_224,0,98.272398553636,0.9826757669428238,0.9971712419922825,16
swin_tiny_patch4_window7_224,1,98.76400154499807,0.9872942886324843,0.9984236253169504,23
swin_tiny_patch4_window7_224,2,98.63289103337354,0.9864157594977973,0.9985999821629717,14
swin_tiny_patch4_window7_224,3,99.0047770700637,0.9902766397520727,0.9994678146127733,17
swin_tiny_patch4_window7_224,4,99.117529081428,0.9910575953088634,0.9996697639045244,23
