perturbation,severity,accuracy,accuracy_pct,delta_pp
clean,0.0,0.9932188065099458,99.32188065099457,0.0
brightness_up,0.33,0.9936708860759493,99.36708860759494,0.045207956600357146
brightness_up,0.66,0.9923146473779385,99.23146473779386,-0.0904159132007254
brightness_up,1.0,0.9914104882459313,99.14104882459313,-0.1808318264014508
brightness_down,0.33,0.9936708860759493,99.36708860759494,0.045207956600357146
brightness_down,0.66,0.9932188065099458,99.32188065099457,0.0
brightness_down,1.0,0.9918625678119349,99.18625678119349,-0.13562386980108254
contrast_down,0.33,0.9932188065099458,99.32188065099457,0.0
contrast_down,0.66,0.9923146473779385,99.23146473779386,-0.0904159132007254
contrast_down,1.0,0.9914104882459313,99.14104882459313,-0.1808318264014508
blur,0.33,0.9932188065099458,99.32188065099457,0.0
blur,0.66,0.990506329113924,99.0506329113924,-0.2712477396021762
blur,1.0,0.9823688969258589,98.23688969258589,-1.0849909584086825
occlusion,0.33,0.9918625678119349,99.18625678119349,-0.13562386980108254
occlusion,0.66,0.9909584086799277,99.09584086799276,-0.22603978300180794
occlusion,1.0,0.9864376130198915,98.64376130198916,-0.6781193490054238
noise,0.33,0.9927667269439421,99.27667269439421,-0.04520795660036825
noise,0.66,0.990506329113924,99.0506329113924,-0.2712477396021762
noise,1.0,0.9819168173598554,98.19168173598554,-1.1301989150090397
