backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
tf_efficientnetv2_s,1,0.2247,83.99,71.35,0.6816,,0
tf_efficientnetv2_s,2,0.1426,90.45,95.38,0.9544,,0
tf_efficientnetv2_s,3,0.1306,91.59,95.26,0.9529,,0
tf_efficientnetv2_s,4,0.1176,92.33,98.07,0.9807,,0
tf_efficientnetv2_s,5,0.1068,93.36,98.31,0.9832,,0
tf_efficientnetv2_s,6,0.1,93.76,98.27,0.9827,,0
tf_efficientnetv2_s,7,0.0939,94.28,98.63,0.9865,,0
tf_efficientnetv2_s,8,0.0904,94.7,98.19,0.9826,,0
tf_efficientnetv2_s,9,0.086,95.15,98.67,0.9867,,0
tf_efficientnetv2_s,10,0.0848,94.82,98.79,0.988,,0
tf_efficientnetv2_s,11,0.0819,95.16,98.63,0.9865,,0
tf_efficientnetv2_s,12,0.0784,95.7,98.67,0.9868,,0
tf_efficientnetv2_s,13,0.0804,95.62,98.67,0.9868,,0
tf_efficientnetv2_s,14,0.0766,95.59,98.96,0.9896,,0
tf_efficientnetv2_s,15,0.0772,95.56,98.75,0.9876,,0
tf_efficientnetv2_s,16,0.0748,95.86,98.71,0.9873,,0
tf_efficientnetv2_s,17,0.074,96.01,98.79,0.9882,,0
tf_efficientnetv2_s,18,0.0725,96.11,98.79,0.9881,,0
tf_efficientnetv2_s,19,0.0696,96.11,98.88,0.9889,,0
tf_efficientnetv2_s,20,0.075,95.87,98.79,0.9881,,0
tf_efficientnetv2_s,21,0.069,96.48,98.88,0.9889,,0
tf_efficientnetv2_s,1,0.225,84.17,80.61,0.8042,,1
tf_efficientnetv2_s,2,0.1481,89.71,92.47,0.922,,1
tf_efficientnetv2_s,3,0.1252,91.37,97.68,0.9761,,1
tf_efficientnetv2_s,4,0.1161,92.24,98.69,0.9866,,1
tf_efficientnetv2_s,5,0.1002,93.79,98.88,0.9887,,1
tf_efficientnetv2_s,6,0.1007,93.61,99.03,0.9902,,1
tf_efficientnetv2_s,7,0.0906,94.75,99.03,0.9902,,1
tf_efficientnetv2_s,8,0.0893,94.44,99.11,0.9909,,1
tf_efficientnetv2_s,9,0.086,94.74,98.92,0.9889,,1
tf_efficientnetv2_s,10,0.0843,95.26,99.11,0.9909,,1
tf_efficientnetv2_s,11,0.0847,95.21,99.15,0.9913,,1
tf_efficientnetv2_s,12,0.0787,95.23,99.19,0.9917,,1
tf_efficientnetv2_s,13,0.0738,95.89,99.19,0.9917,,1
tf_efficientnetv2_s,14,0.0803,95.42,99.27,0.9925,,1
tf_efficientnetv2_s,15,0.0736,95.84,99.27,0.9925,,1
tf_efficientnetv2_s,16,0.0763,95.58,99.27,0.9925,,1
tf_efficientnetv2_s,17,0.0737,96.06,99.3,0.9929,,1
tf_efficientnetv2_s,18,0.0708,96.01,99.27,0.9926,,1
tf_efficientnetv2_s,19,0.0719,96.05,99.0,0.9897,,1
tf_efficientnetv2_s,20,0.0727,96.06,99.23,0.9922,,1
tf_efficientnetv2_s,21,0.0695,96.57,99.23,0.9921,,1
tf_efficientnetv2_s,22,0.0686,96.31,99.19,0.9917,,1
tf_efficientnetv2_s,23,0.0675,96.36,99.15,0.9914,,1
tf_efficientnetv2_s,24,0.0659,96.5,99.11,0.9909,,1
tf_efficientnetv2_s,1,0.2305,83.29,79.49,0.7948,,2
tf_efficientnetv2_s,2,0.1464,89.8,96.9,0.9689,,2
tf_efficientnetv2_s,3,0.1291,91.43,97.91,0.979,,2
tf_efficientnetv2_s,4,0.1135,92.68,98.07,0.9807,,2
tf_efficientnetv2_s,5,0.0987,94.12,98.47,0.9848,,2
tf_efficientnetv2_s,6,0.0995,93.68,98.59,0.9861,,2
tf_efficientnetv2_s,7,0.0914,94.66,98.63,0.9865,,2
tf_efficientnetv2_s,8,0.0922,94.43,98.55,0.9857,,2
tf_efficientnetv2_s,9,0.0894,94.68,98.43,0.9845,,2
tf_efficientnetv2_s,10,0.0835,95.3,98.75,0.9877,,2
tf_efficientnetv2_s,11,0.0818,95.25,98.51,0.9853,,2
tf_efficientnetv2_s,12,0.0795,95.35,98.91,0.9894,,2
tf_efficientnetv2_s,13,0.0792,95.61,98.87,0.989,,2
tf_efficientnetv2_s,14,0.075,96.14,98.91,0.9892,,2
tf_efficientnetv2_s,15,0.0738,95.71,98.95,0.9896,,2
