path,label,class,group,split,fold
cashew_leaf_dataset_raw/anthracnose/anthracnose573__jpg.rf.3a3772443a01d173ec66c0b065c11b15.jpg,0,anthracnose,7084104fcf16,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose616__jpg.rf.5db75f8d7fa398d3e551e9bbdabb1402.jpg,0,anthracnose,ecb8c0085245,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose78__jpg.rf.3f26f58a4e50f8e89df92fb8eda34e38.jpg,0,anthracnose,1cc145013fdd,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose112__jpg.rf.d11e413a0003abc49ad2e7b37ba40ab1.jpg,0,anthracnose,7665ba82effe,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose544__jpg.rf.ee0b5de6f948268324b13b940a9e4c5f.jpg,0,anthracnose,d87cc808d6fe,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose623__jpg.rf.87362bde993a470cb5fcc859e3e7869b.jpg,0,anthracnose,12ff65872b5b,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1314__jpg.rf.6cad91cbf7a5539a80dfe09f433d1d50.jpg,0,anthracnose,701c579f8b75,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1422__jpg.rf.32dfe8801240a99059077c136ca7c32c.jpg,0,anthracnose,d6af8a5beba6,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose265__jpg.rf.975b43c6e9f020085503aab4e9e63649.jpg,0,anthracnose,66cae9a803ea,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose657__jpg.rf.cc252e5bf4e00da4175993f619b00601.jpg,0,anthracnose,d0ced67a010d,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose350__jpg.rf.07f3f94bfae4a614d4c6eaeb66b6d062.jpg,0,anthracnose,2becd4adcaed,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose140__jpg.rf.aa86411eb91258fe5e122afa11a4842c.jpg,0,anthracnose,b069124cac71,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose362__jpg.rf.780771341a50787e71f8bc5c894cb06f.jpg,0,anthracnose,94dff714f74a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose51__jpg.rf.df5351653b38e360c9f943ebf157ad5b.jpg,0,anthracnose,1ffe32ffc369,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose403__jpg.rf.38781744a8e6c6d0e343833d706006b6.jpg,0,anthracnose,1787b195530a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1041__jpg.rf.2da5056a4c1e52fcd34fc807c2563b8b.jpg,0,anthracnose,e68cc95f6c0f,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose466__jpg.rf.7dfef3294e77536adff1d52f2feee5f7.jpg,0,anthracnose,a3ffb7477269,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1122__jpg.rf.6cd0daacea243a23d31a17d25198f94a.jpg,0,anthracnose,8e78c5be27e3,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose878__jpg.rf.841161a9cdc8c8c427125afecd577020.jpg,0,anthracnose,da9564b89cbb,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose345__jpg.rf.2388811ee6cedd9d2ae10b84488bf1b0.jpg,0,anthracnose,ca0993c6844c,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose638__jpg.rf.c3bb850ecd001f31e718f38d86a300b3.jpg,0,anthracnose,17bfc4ba8545,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose498__jpg.rf.6334d8c8728777c9e48c09222076ee21.jpg,0,anthracnose,982a9fa13925,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose424__jpg.rf.c305affb6268bca4c102efbb0676bdb6.jpg,0,anthracnose,25416852e497,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose243__jpg.rf.89bcb959b6a393116b1d101f2cd2c1f6.jpg,0,anthracnose,9d7ab26a1891,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose1211__jpg.rf.d397aa2ed00ced614c25fdcf29d5da12.jpg,0,anthracnose,01cccfd9ee3a,test,-1
cashew_leaf_dataset_raw/anthracnose/anthracnose181__jpg.rf.beae9926291cf9fe27272939527d4aa7.jpg,0,anthracnose,8677b488bbc5,test,-1
